13+uFPLRsDsW07+4E528iQ==,Peugeot,Focus C-Max,1,74efa140e08d865ff0171b84749d3d4d,250a10a037b0c1774d71690d18bd177f
lSKn0joXrDpvRQ9NiQkwkg==,Tesla,Cruze,2,95c28535c5672130854c504b15f27615,ed61b162f9b7d8cc7fc825d7242e7032
FaA20GWLz0+bKT6WCr3oKg==,Lotus,Terrano II,3,3ffc6b5623ef9a6b6471584f0cfb5492,44d723251d0d3c70e10cd75008168058
H+kTkmyKzqnNfySap2i9vw==,Caterham,370Z,4,41c2c8f587c3ac283671b84786977660,763587df716229f30eade155c1dd1f19
zpeuEmisblVPXWoEv+rfMg==,Dodge,Kuga,5,f6b9f05e5f68f6e87f452916d8db1d30,a3eaf1168c420978e1730a4b487e2ba7
wWqVCfLrRtTnt+Ma/Ed4dg==,Mercedes-Benz,Almera Tino,6,5f0249a3ba837815252e6040bfb8e960,850e29c9e94f8aca99bed21aa6afe24e
bZeeDaEgcypArKtto4xqZQ==,Kia,Micra,7,e6d1f30f5f5c8a12e3991b083f96d116,6e2ae7a48fe26a80b1cf5440cb138c4c
Opu0IKIOQAYO7uriN2vSfA==,DS,Terrano II,8,ae276ab4151496e618b64bdaa186cd3e,335c67965dd28ca252f6544bfa084cbc
tVXM+sLzZ7GlEO3B2fifKg==,Dacia,EcoSport,9,01bbe55d42f3887195d778c7e1a696b5,ed4a98205799b1aab58cbef59f16bb91
M9TPvRjPoWY/Lrt9HnKYeQ==,Corvette,S-MAX,10,d2722727e0f2f649a92e5d703e1db1d0,bf79759e0f2a87faa9a1726502a52ef4
Ii8q7hJhARXd6LdmbIgbRw==,Opel,Captiva,11,edaff28c8e0f8bc5ad3f061c6bd62485,2845025aed4b13b332d8b4b37eba8182
QilxmP9Z+0pYGD/pcnWR0Q==,Aston Martin,Tacuma,12,13f771d8746e415e11bbee53f273a367,15e4d4fe2bb5476a465953c22c571d1a
